time;V(5);V(7)
0.000022676;0.000000072;-0.000000026
0.000045351;0.003646744;-0.457503745
0.000068027;0.044218533;0.295519022
0.000090703;0.410039562;-0.494628609
0.000113379;-0.001372334;0.220084289
0.000136054;0.344525391;0.728602396
0.000158730;0.000268477;0.053997248
0.000181406;0.144939147;0.473847766
0.000204082;2765.476544306;2136.728320635
0.000226757;0.017483786;0.335135293
0.000249433;0.025553077;-0.672208745
0.000272109;0.017450139;-0.682758411
0.000294785;0.018328298;-0.682198671
0.000317460;0.019137583;-0.681488532
0.000340136;0.019879260;-0.680654579
0.000362812;0.020554548;-0.679716985
0.000385488;0.021164559;-0.678691333
0.000408163;0.021710293;-0.677589806
0.000430839;0.022192634;-0.676422002
0.000453515;0.022612397;-0.675195453
0.000476190;0.022970113;-0.673916281
0.000498866;0.023266374;-0.672589113
0.000521542;0.023501589;-0.671217571
0.000544218;0.023676051;-0.669804354
0.000566893;0.023789933;-0.668351347
0.000589569;0.023843276;-0.666859725
0.000612245;0.023836103;-0.665329861
0.000634921;0.023768182;-0.663761597
0.000657596;0.023639136;-0.662154125
0.000680272;0.023448714;-0.660505650
0.000702948;0.023196346;-0.658813802
0.000725624;0.022881401;-0.657075253
0.000748299;0.022503136;-0.655285630
0.000770975;0.022060688;-0.653439297
0.000793651;0.021553083;-0.651529087
0.000816327;0.020979300;-0.649545814
0.000839002;0.020338010;-0.647478018
0.000861678;0.019627959;-0.645310761
0.000884354;0.018847738;-0.643024759
0.000907029;0.017995835;-0.640594616
0.000929705;0.017070662;-0.637986223
0.000952381;0.016070572;-0.635152587
0.000975057;0.014993875;-0.632026807
0.000997732;0.013838885;-0.628509550
0.001020408;0.012603944;-0.624444776
0.001043084;0.011287439;-0.619567525
0.001065760;0.009887662;-0.613373256
0.001088435;0.008401882;-0.604704211
0.001111111;0.006819453;-0.589708080
0.001133787;0.004630019;-0.469725423
0.001156463;0.000470314;0.055588593
0.001179138;0.000160535;0.077777745
0.001201814;-0.000051223;0.087874640
0.001224490;-0.000234482;0.094348647
0.001247166;-0.000403970;0.099042267
0.001269841;-0.000565049;0.102667874
0.001292517;-0.000720080;0.105576537
0.001315193;-0.000870160;0.107967376
0.001337868;-0.001015760;0.109964332
0.001360544;-0.001157010;0.111649780
0.001383220;-0.001293833;0.113081266
0.001405896;-0.001426029;0.114300561
0.001428571;-0.001553320;0.115338898
0.001451247;-0.001675379;0.116220215
0.001473923;-0.001791848;0.116963204
0.001496599;-0.001902356;0.117582701
0.001519274;-0.002006530;0.118090605
0.001541950;-0.002103999;0.118496545
0.001564626;-0.002194404;0.118808353
0.001587302;-0.002277403;0.119032410
0.001609977;-0.002352674;0.119173875
0.001632653;-0.002419924;0.119236914
0.001655329;-0.002478883;0.119224800
0.001678005;-0.002529315;0.119140044
0.001700680;-0.002571017;0.118984355
0.001723356;-0.002603821;0.118759135
0.001746032;-0.002627595;0.118464768
0.001768707;-0.002642241;0.118101183
0.001791383;-0.002647700;0.117667557
0.001814059;-0.002643950;0.117162788
0.001836735;-0.002631006;0.116584800
0.001859410;-0.002608915;0.115930854
0.001882086;-0.002577758;0.115197380
0.001904762;-0.002537650;0.114379847
0.001927438;-0.002488730;0.113472606
0.001950113;-0.002431164;0.112468644
0.001972789;-0.002365137;0.111359285
0.001995465;-0.002290850;0.110133760
0.002018141;-0.002208509;0.108778614
0.002040816;-0.002118320;0.107276868
0.002063492;-0.002020474;0.105606788
0.002086168;-0.001915131;0.103740056
0.002108844;-0.001802392;0.101638940
0.002131519;-0.001682259;0.099251710
0.002154195;-0.001554569;0.096504876
0.002176871;-0.001418876;0.093289085
0.002199546;-0.001274215;0.089431450
0.002222222;-0.001118597;0.084634367
0.002244898;-0.000947691;0.078317285
0.002267574;-0.000750431;0.069085931
0.002290249;-0.000484386;0.051752896
0.002312925;0.001850826;-0.225548142
0.002335601;0.005535506;-0.593510079
0.002358277;0.007146553;-0.609338228
0.002380952;0.008655990;-0.616241539
0.002403628;0.010081782;-0.620107469
0.002426304;0.011427328;-0.622437284
0.002448980;0.012694323;-0.623844178
0.002471655;0.013884253;-0.624638957
0.002494331;0.014998625;-0.625000641
0.002517007;0.016038982;-0.625041508
0.002539683;0.017006814;-0.624836445
0.002562358;0.017903745;-0.624437494
0.002585034;0.018731151;-0.623882403
0.002607710;0.019490395;-0.623199118
0.002630385;0.020182741;-0.622408817
0.002653061;0.020809345;-0.621527821
0.002675737;0.021371246;-0.620568862
0.002698413;0.021869367;-0.619541964
0.002721088;0.022304569;-0.618454993
0.002743764;0.022677411;-0.617314349
0.002766440;0.022988524;-0.616124879
0.002789116;0.023238351;-0.614890399
0.002811791;0.023427215;-0.613613777
0.002834467;0.023555324;-0.612297061
0.002857143;0.023622732;-0.610941579
0.002879819;0.023629519;-0.609547838
0.002902494;0.023575464;-0.608115844
0.002925170;0.023460222;-0.606644941
