time;V(1);V(2)
0.000022676;0.000000000;0.000000000
0.000045351;0.009397017;0.009396910
0.000068027;0.018757115;0.018756689
0.000090703;0.028043523;0.028042566
0.000113379;0.037219756;0.037218060
0.000136054;0.046249768;0.046247126
0.000158730;0.055098076;0.055094285
0.000181406;0.063729921;0.063724782
0.000204082;0.072111398;0.072104720
0.000226757;0.080209567;0.080201162
0.000249433;0.087992622;0.087982309
0.000272109;0.095429978;0.095417586
0.000294785;0.102492430;0.102477795
0.000317460;0.109152219;0.109135184
0.000340136;0.115383185;0.115363605
0.000362812;0.121160846;0.121138585
0.000385488;0.126462502;0.126437434
0.000408163;0.131267336;0.131239346
0.000430839;0.135556469;0.135525454
0.000453515;0.139313032;0.139278902
0.000476190;0.142522290;0.142484965
0.000498866;0.145171620;0.145131034
0.000521542;0.147250608;0.147206708
0.000544218;0.148751118;0.148703862
0.000566893;0.149667218;0.149616581
0.000589569;0.149995334;0.149941300
0.000612245;0.149734168;0.149676737
0.000634921;0.148884733;0.148823918
0.000657596;0.147450398;0.147386225
0.000680272;0.145436765;0.145369272
0.000702948;0.142851762;0.142781002
0.000725624;0.139705535;0.139631573
0.000748299;0.136010467;0.135933381
0.000770975;0.131781042;0.131700922
0.000793651;0.127033904;0.126950851
0.000816327;0.121787687;0.121701815
0.000839002;0.116063013;0.115974445
0.000861678;0.109882352;0.109791225
0.000884354;0.103270015;0.103176474
0.000907029;0.096251952;0.096156151
0.000929705;0.088855745;0.088757847
0.000952381;0.081110464;0.081010641
0.000975057;0.073046515;0.072944946
0.000997732;0.064695599;0.064592471
0.001020408;0.056090512;0.055986018
0.001043084;0.047265062;0.047159398
0.001065760;0.038253926;0.038147294
0.001088435;0.029092506;0.028985113
0.001111111;0.019816787;0.019708842
0.001133787;0.010463215;0.010354929
0.001156463;0.001068536;0.000960122
0.001179138;-0.008330341;-0.008438670
0.001201814;-0.017696489;-0.017804520
0.001224490;-0.026993117;-0.027100639
0.001247166;-0.036183694;-0.036290498
0.001269841;-0.045232120;-0.045337998
0.001292517;-0.054102843;-0.054207592
0.001315193;-0.062761009;-0.062864431
0.001337868;-0.071172616;-0.071274517
0.001360544;-0.079304610;-0.079404803
0.001383220;-0.087125028;-0.087223332
0.001405896;-0.094603175;-0.094699416
0.001428571;-0.101709652;-0.101803665
